"Name","SI","Handles","VM","WS","PM","NPM","Path","CommandLine","Parent","Company","CPU","FileVersion","ProductVersion","Description","Product","__NounName","SafeHandle","Handle","BasePriority","ExitCode","HasExited","StartTime","ExitTime","Id","MachineName","MaxWorkingSet","MinWorkingSet","Modules","NonpagedSystemMemorySize64","NonpagedSystemMemorySize","PagedMemorySize64","PagedMemorySize","PagedSystemMemorySize64","PagedSystemMemorySize","PeakPagedMemorySize64","PeakPagedMemorySize","PeakWorkingSet64","PeakWorkingSet","PeakVirtualMemorySize64","PeakVirtualMemorySize","PriorityBoostEnabled","PriorityClass","PrivateMemorySize64","PrivateMemorySize","ProcessorAffinity","SessionId","StartInfo","Threads","HandleCount","VirtualMemorySize64","VirtualMemorySize","EnableRaisingEvents","StandardInput","StandardOutput","StandardError","WorkingSet64","WorkingSet","SynchronizingObject","MainModule","MainWindowHandle","MainWindowTitle","Responding","ProcessName","PrivilegedProcessorTime","TotalProcessorTime","UserProcessorTime","Site","Container"
"bash","37","4","4722688","3489792","0","0","/usr/bin/bash","/bin/bash","System.Diagnostics.Process (tmux: server)",,"0.01",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1076","0",,"False","09/26/2025 09:40:43",,"37",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","3674112","3674112","4722688","4722688","False","Normal","716800","716800","3","37",,"System.Diagnostics.ProcessThreadCollection","4","4722688","4722688","False",,,,"3489792","3489792",,"System.Diagnostics.ProcessModule (bash)","0","","True","bash","00:00:00.0100000","00:00:00.0100000","00:00:00",,
"pwsh","37","153","5302734848","89743360","0","0","/opt/microsoft/powershell/7/pwsh","pwsh -File /workspace/get_processes.ps1","System.Diagnostics.Process (bash)",,"0.894248",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1116","0",,"False","09/26/2025 09:42:25",,"1504",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","89743360","89743360","5302734848","1007767552","False","Normal","166273024","166273024","3","37",,"System.Diagnostics.ProcessThreadCollection","153","5302734848","1007767552","False",,,,"89743360","89743360",,"System.Diagnostics.ProcessModule (pwsh)","0","","True","pwsh","00:00:00.1527540","00:00:00.8951630","00:00:00.7424150",,
"python","2","12","766734336","282996736","0","0","/usr/local/bin/python3.12","python openhands/action_execution_server.py --no-enable-browser --working-dir /workspace 35123","System.Diagnostics.Process (sudo)",,"6.71",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1152","0",,"False","09/26/2025 09:40:36",,"3",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","325464064","325464064","833826816","833826816","False","Normal","357687296","357687296","3","2",,"System.Diagnostics.ProcessThreadCollection","12","766734336","766734336","False",,,,"282996736","282996736",,"System.Diagnostics.ProcessModule (python3.12)","0","","True","python","00:00:01.0400000","00:00:06.7100000","00:00:05.6700000",,
"sudo","1","9","6160384","2686976","0","0","/usr/bin/sudo","sudo python openhands/action_execution_server.py --no-enable-browser --working-dir /workspace 35123",,,"0.04",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1188","0",,"False","09/26/2025 09:40:36",,"1",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","3743744","3743744","6160384","6160384","False","Normal","1105920","1105920","3","1",,"System.Diagnostics.ProcessThreadCollection","9","6160384","6160384","False",,,,"2686976","2686976",,"System.Diagnostics.ProcessModule (sudo)","0","","True","sudo","00:00:00.0300000","00:00:00.0400000","00:00:00.0100000",,
"sudo","2","11","6160384","389120","0","0","/usr/bin/sudo","sudo python openhands/action_execution_server.py --no-enable-browser --working-dir /workspace 35123","System.Diagnostics.Process (sudo)",,"0",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1228","0",,"False","09/26/2025 09:40:36",,"2",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","389120","389120","6160384","6160384","False","Normal","1105920","1105920","3","2",,"System.Diagnostics.ProcessThreadCollection","11","6160384","6160384","False",,,,"389120","389120",,"System.Diagnostics.ProcessModule (sudo)","0","","True","sudo","00:00:00","00:00:00","00:00:00",,
"tmux: server","28","7","6365184","4182016","0","0","/usr/bin/tmux","/usr/bin/tmux new-session -P -F#{session_id} -sopenhands-qwencoder-8d7cdace-5d69-49d5-969e-0afba37c2124 -d -c /workspace -x 1000 -y 1000","System.Diagnostics.Process (sudo)",,"0.25",,,,,"Process","Microsoft.Win32.SafeHandles.SafeProcessHandle","1264","0",,"False","09/26/2025 09:40:43",,"28",".","536870912","0","System.Diagnostics.ProcessModuleCollection","0","0","0","0","0","0","0","0","4182016","4182016","6402048","6402048","False","Normal","1425408","1425408","3","28",,"System.Diagnostics.ProcessThreadCollection","7","6365184","6365184","False",,,,"4182016","4182016",,"System.Diagnostics.ProcessModule (tmux)","0","","True","tmux: server","00:00:00.0700000","00:00:00.2500000","00:00:00.1800000",,
